                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9511,                 6.3194,                 1.3088,                      0,                      0,                      0,                      0,                 1.8339,                  6.009,                 1.1266,                2.8e-05,                2.8e-05,                2.8e-05
                      2,                  1.611,                 5.8373,                 1.1059,                      0,                      0,                      0,                      0,                 1.6708,                 5.8668,                 1.0733,              5.802e-05,              5.802e-05,              5.802e-05
                      3,                 1.4223,                 5.4411,                0.99442,                      0,                      0,                      0,                      0,                 1.6289,                 5.7896,                 1.0478,             8.5928e-05,             8.5928e-05,             8.5928e-05
                      4,                 1.5149,                 5.3419,                 1.0335,                      0,                      0,                      0,                      0,                 1.4462,                 5.6104,                0.99928,             0.00011172,             0.00011172,             0.00011172
                      5,                 1.4149,                 4.7972,                0.95321,                0.03647,                0.04762,                0.04645,                0.04163,                 1.2806,                  5.302,                0.93856,             0.00013541,             0.00013541,             0.00013541
                      6,                 1.3678,                 4.5074,                0.98406,                0.07483,                   0.05,                0.07149,                0.05658,                 1.2516,                 5.0853,                0.93064,             0.00015698,             0.00015698,             0.00015698
                      7,                 1.3165,                 4.0724,                0.94922,                0.05833,                0.14048,                0.10852,                0.07343,                 1.2131,                 4.9544,                0.92734,             0.00017644,             0.00017644,             0.00017644
                      8,                 1.2829,                 4.0288,                0.97762,                0.12539,                0.24791,                0.18212,                0.13093,                 1.1573,                 4.7682,                0.92012,             0.00019379,             0.00019379,             0.00019379
                      9,                 1.1949,                 3.2578,                0.90572,                0.11108,                0.42038,                0.25371,                0.18264,                 1.1545,                 4.4633,                 0.9168,             0.00020902,             0.00020902,             0.00020902
                     10,                  1.218,                 3.1919,                0.91026,                0.09303,                0.59408,                 0.2881,                0.19809,                 1.1597,                  4.229,                0.92249,             0.00022215,             0.00022215,             0.00022215
                     11,                 1.2963,                 3.2841,                0.93853,                0.08152,                0.73654,                0.35014,                0.22797,                 1.1588,                 3.7758,                0.92976,             0.00023316,             0.00023316,             0.00023316
                     12,                 1.0963,                 2.6441,                0.89794,                0.07225,                0.75599,                0.44596,                0.29459,                 1.1237,                 3.5972,                0.91523,             0.00024206,             0.00024206,             0.00024206
                     13,                 1.1172,                 2.4308,                0.88188,                0.78897,                0.23283,                0.49471,                0.34948,                 1.1068,                 3.4029,                 0.9092,              0.0002416,              0.0002416,              0.0002416
                     14,                 1.2313,                 2.7014,                0.93328,                0.82995,                0.21042,                  0.497,                0.37509,                 1.0733,                 3.1448,                0.90545,              0.0002284,              0.0002284,              0.0002284
                     15,                 1.1334,                 2.5311,                0.92904,                0.74863,                0.33976,                0.49721,                0.38159,                 1.0477,                 2.9112,                 0.9012,              0.0002152,              0.0002152,              0.0002152
                     16,                 1.1657,                 2.2444,                0.89945,                0.78324,                0.48584,                0.54478,                0.41627,                 1.0355,                 2.7359,                0.90029,               0.000202,               0.000202,               0.000202
                     17,                 1.1093,                 2.2948,                0.87772,                0.75574,                0.52494,                0.56592,                0.42623,                 1.0228,                  2.563,                0.89648,              0.0001888,              0.0001888,              0.0001888
                     18,                 1.1327,                 2.3265,                0.91392,                0.82503,                 0.5104,                0.58396,                0.43474,                 1.0398,                 2.3603,                0.89228,              0.0001756,              0.0001756,              0.0001756
                     19,                 1.0769,                 2.0155,                0.87199,                0.72006,                0.54399,                0.60203,                 0.4514,                 1.0449,                 2.2113,                0.88983,              0.0001624,              0.0001624,              0.0001624
                     20,                 1.0795,                 2.2345,                0.88972,                0.70503,                0.57266,                0.62234,                0.46111,                 1.0296,                 2.0925,                0.88925,              0.0001492,              0.0001492,              0.0001492
                     21,                 0.9979,                 2.2576,                0.87895,                0.74155,                0.59329,                 0.6315,                0.47693,                 1.0196,                  2.082,                0.89234,               0.000136,               0.000136,               0.000136
                     22,                0.99456,                 2.3007,                0.86563,                 0.7261,                0.59039,                0.66025,                0.50819,                0.99958,                 2.0903,                0.89304,              0.0001228,              0.0001228,              0.0001228
                     23,                0.95582,                 2.1575,                0.89078,                0.80683,                0.61167,                0.67912,                0.51604,                0.98578,                 2.0801,                0.89223,              0.0001096,              0.0001096,              0.0001096
                     24,                 1.0618,                 2.2247,                0.87846,                0.81854,                0.63074,                0.69156,                0.52155,                0.98778,                 2.0243,                0.89123,               9.64e-05,               9.64e-05,               9.64e-05
                     25,                0.92511,                 2.0516,                0.86318,                 0.8448,                0.65523,                0.70956,                0.53305,                 0.9753,                 1.9483,                0.88766,               8.32e-05,               8.32e-05,               8.32e-05
                     26,                0.88644,                 2.2149,                0.86729,                0.86758,                0.65734,                0.71813,                0.54106,                0.96771,                 1.8751,                0.88716,                  7e-05,                  7e-05,                  7e-05
                     27,                 1.0411,                 2.3974,                0.93211,                0.83993,                0.64479,                 0.7106,                0.53389,                 0.9675,                 1.8378,                0.88655,               5.68e-05,               5.68e-05,               5.68e-05
                     28,                 1.0555,                 2.2683,                0.92272,                0.84417,                0.64638,                0.70985,                 0.5307,                0.96031,                 1.8201,                0.88557,               4.36e-05,               4.36e-05,               4.36e-05
                     29,                0.95922,                 2.0767,                0.87858,                0.85011,                0.64727,                0.71316,                0.53155,                 0.9586,                 1.8069,                0.88468,               3.04e-05,               3.04e-05,               3.04e-05
                     30,                0.93884,                 2.0917,                0.87958,                0.88057,                0.64864,                0.70776,                0.52662,                0.95668,                 1.7855,                0.88388,               1.72e-05,               1.72e-05,               1.72e-05
